Id,gasdate,openprice,highprice,lowprice,closeprice,volume,created_at
1,3/12/2015,2.828000069,2.864000082,2.724999905,2.733999968,155481,4/19/2019 17:55
2,3/13/2015,2.749000072,2.759000063,2.674000025,2.726999998,95866,4/19/2019 17:55
3,3/16/2015,2.704999924,2.747999907,2.680000067,2.71600008,82668,4/19/2019 17:55
4,3/17/2015,2.742000103,2.85800004,2.74000001,2.855000019,159236,4/19/2019 17:55
5,3/18/2015,2.854000092,2.934999943,2.775000095,2.920000076,153505,4/19/2019 17:55
6,3/19/2015,2.90899992,2.927999973,2.776000023,2.812999964,141093,4/19/2019 17:55
7,3/20/2015,2.83100009,2.91899991,2.762000084,2.786000013,145544,4/19/2019 17:55
8,3/23/2015,2.740999937,2.756000042,2.690999985,2.73300004,111016,4/19/2019 17:55
9,3/24/2015,2.750999928,2.809999943,2.734999895,2.786000013,87787,4/19/2019 17:55
10,3/25/2015,2.78399992,2.792999983,2.711999893,2.72300005,54868,4/19/2019 17:55
11,3/26/2015,2.73300004,2.756000042,2.648999929,2.671999931,49630,4/19/2019 17:55
12,3/27/2015,2.665999889,2.674999952,2.578000069,2.589999914,13458,4/19/2019 17:55
13,3/30/2015,2.624000072,2.673000097,2.60800004,2.644000053,77701,4/19/2019 17:55
14,3/31/2015,2.640000105,2.686000109,2.621999979,2.640000105,76705,4/19/2019 17:55
15,4/1/2015,2.637000084,2.670000076,2.582999945,2.605000019,99015,4/19/2019 17:55
16,4/2/2015,2.601000071,2.719000101,2.59100008,2.713000059,138646,4/19/2019 17:55
17,4/3/2015,2.713000059,2.713000059,2.713000059,2.713000059,0,4/19/2019 17:55
18,4/6/2015,2.680999994,2.697999954,2.632999897,2.650000095,70629,4/19/2019 17:55
19,4/7/2015,2.654999971,2.709000111,2.647000074,2.680000067,105704,4/19/2019 17:55
20,4/8/2015,2.665999889,2.66899991,2.611000061,2.618999958,131934,4/19/2019 17:55
21,4/9/2015,2.624000072,2.645999908,2.522000074,2.528000116,171401,4/19/2019 17:55
22,4/10/2015,2.539000034,2.551000118,2.503999949,2.510999918,120054,4/19/2019 17:55
