Id,oildate,openprice,highprice,lowprice,closeprice,volume,created_at
1,3/12/2015,57.91999817,58.81000137,56.50999832,57.08000183,129734,4/19/2019 17:54
2,3/13/2015,57.02999878,57.40000153,54.43000031,54.66999817,84085,4/19/2019 17:54
3,3/16/2015,54.40999985,54.63999939,52.5,53.43999863,15638,4/19/2019 17:54
4,3/17/2015,54.09999847,54.38000107,52.56999969,53.50999832,240285,4/19/2019 17:54
5,3/18/2015,53.27999878,56.84000015,52.68000031,55.90999985,262440,4/19/2019 17:54
6,3/19/2015,56.18000031,56.20000076,53.90999985,54.43000031,209646,4/19/2019 17:54
7,3/20/2015,54.45999908,55.66999817,53.54999924,55.31999969,186667,4/19/2019 17:54
8,3/23/2015,55.24000168,56.18999863,54.11999893,55.91999817,191637,4/19/2019 17:54
9,3/24/2015,55.83000183,56.79000092,54.84999847,55.11000061,197476,4/19/2019 17:54
10,3/25/2015,55.09000015,57.16999817,54.70000076,56.47999954,256043,4/19/2019 17:54
11,3/26/2015,56.34999847,59.77999878,56.29999924,59.18999863,334870,4/19/2019 17:54
12,3/27/2015,58.97000122,59.04000092,55.95000076,56.40999985,223862,4/19/2019 17:54
13,3/30/2015,55.95999908,56.65000153,55.20000076,56.29000092,220109,4/19/2019 17:54
14,3/31/2015,56.31000137,56.33000183,54.72000122,55.11000061,238494,4/19/2019 17:54
15,4/1/2015,55.18000031,57.68999863,54.70000076,57.09999847,256904,4/19/2019 17:54
16,4/2/2015,56.72000122,57.27999878,54,54.95000076,288965,4/19/2019 17:54
17,4/6/2015,55.18000031,58.24000168,55.08000183,58.11999893,126804,4/19/2019 17:54
18,4/7/2015,57.79999924,59.27000046,57.02000046,59.09999847,236714,4/19/2019 17:54
19,4/8/2015,58.29999924,58.72000122,55.45000076,55.54999924,250564,4/19/2019 17:54
20,4/9/2015,56.09999847,58.02000046,55.97000122,56.56999969,174812,4/19/2019 17:54
21,4/10/2015,56.84000015,58.11999893,56.25,57.86999893,137659,4/19/2019 17:54
22,4/13/2015,58.02000046,59.54000092,57.45999908,57.93000031,119317,4/19/2019 17:54
23,4/14/2015,58.16999817,59.24000168,57.75999832,58.43000031,106803,4/19/2019 17:54
24,4/15/2015,58.74000168,60.45000076,58.74000168,60.31999969,21182,4/19/2019 17:54
25,4/16/2015,62.90000153,64.94999695,62,63.97999954,293485,4/19/2019 17:54
26,4/17/2015,64.01999664,64.5,62.95000076,63.45000076,220117,4/19/2019 17:54
