Id,silverdate,openprice,highprice,lowprice,closeprice,volume,created_at
1,3/12/2015,15.56000042,15.56499958,15.46500015,15.49300003,94,4/19/2019 17:54
2,3/13/2015,15.60999966,15.61999989,15.47500038,15.47700024,59,4/19/2019 17:54
3,3/15/2015,15.62699986,15.62699986,15.56499958,15.58500004,0,4/19/2019 17:54
4,3/16/2015,15.68999958,15.71500015,15.5,15.60099983,71,4/19/2019 17:54
5,3/17/2015,15.48999977,15.63500023,15.48999977,15.56200027,39,4/19/2019 17:54
6,3/18/2015,15.47500038,15.89999962,15.44999981,15.52499962,19,4/19/2019 17:54
7,3/19/2015,15.90499973,16.10000038,15.85999966,16.09799957,8,4/19/2019 17:54
8,3/20/2015,16.25499916,16.81999969,16.25499916,16.86700058,93,4/19/2019 17:54
9,3/22/2015,16.77499962,16.82500076,16.75,16.79800034,0,4/19/2019 17:54
10,3/23/2015,16.70000076,16.97500038,16.67000008,16.87199974,149,4/19/2019 17:54
11,3/24/2015,16.97999954,17,16.86000061,16.96299934,295,4/19/2019 17:54
12,3/25/2015,16.95000076,17.04500008,16.95000076,16.97999954,146,4/19/2019 17:54
13,3/26/2015,17.31500053,17.32500076,17.05500031,17.12199974,97,4/19/2019 17:54
14,3/27/2015,17.01000023,17.01000023,17.01000023,17.05200005,11,4/19/2019 17:54
15,3/29/2015,16.98999977,16.98999977,16.89800072,16.90999985,0,4/19/2019 17:54
16,3/30/2015,16.75499916,16.75499916,16.65500069,16.65699959,8,4/19/2019 17:54
17,3/31/2015,16.64999962,16.64999962,16.58499908,16.58099937,24,4/19/2019 17:54
18,4/1/2015,16.62000084,16.62000084,16.62000084,17.04400063,50,4/19/2019 17:54
19,4/2/2015,16.68600082,16.68600082,16.94499969,16.68600082,38399,4/19/2019 17:54
20,4/3/2015,16.68600082,16.68600082,16.68600082,16.68600082,0,4/19/2019 17:54
21,4/5/2015,17.00200081,17.125,16.96800041,17.0720005,0,4/19/2019 17:54
22,4/6/2015,17.03499985,17.07999992,17.03499985,17.09499931,17,4/19/2019 17:54
23,4/7/2015,16.82500076,16.82500076,16.82500076,16.82500076,200,4/19/2019 17:54
24,4/8/2015,16.44000053,16.44000053,16.44000053,16.44000053,1,4/19/2019 17:54
25,4/9/2015,16.16399956,16.16399956,16.23500061,16.16399956,99,4/19/2019 17:54
26,4/10/2015,16.39999962,16.39999962,16.39999962,16.37000084,5,4/19/2019 17:54
27,4/12/2015,16.43799973,16.47299957,16.42499924,16.45999908,0,4/19/2019 17:54
28,4/13/2015,16.28000069,16.28000069,16.28000069,16.28000069,35535,4/19/2019 17:54
29,4/14/2015,16.15099907,16.15099907,16.15099907,16.15099907,23,4/19/2019 17:54
30,4/15/2015,16.2689991,16.2689991,16.2689991,16.2689991,12732,4/19/2019 17:54
31,4/16/2015,16.14999962,16.28499985,16.14999962,16.27599907,12,4/19/2019 17:54
32,4/17/2015,16.22100067,16.22100067,16.22100067,16.22100067,11634,4/19/2019 17:54
33,4/19/2015,16.26199913,16.31299973,16.25200081,16.31299973,0,4/19/2019 17:54
34,4/20/2015,15.88300037,15.88300037,15.88300037,15.88300037,14046,4/19/2019 17:54
35,4/21/2015,15.92000008,15.92000008,15.92000008,16.00200081,1,4/19/2019 17:54
36,4/22/2015,15.79100037,15.79100037,15.79100037,15.79100037,21232,4/19/2019 17:54
37,4/23/2015,15.82400036,15.82400036,15.82400036,15.82400036,20776,4/19/2019 17:54
38,4/24/2015,15.63099957,15.63099957,15.63099957,15.63099957,33272,4/19/2019 17:54
39,4/26/2015,15.70699978,15.77299976,15.70699978,15.77000046,0,4/19/2019 17:54
40,4/27/2015,15.93500042,15.93999958,15.93500042,16.38999939,70,4/19/2019 17:54
41,4/28/2015,16.58699989,16.58699989,16.58699989,16.58699989,50,4/19/2019 17:54
42,4/29/2015,16.56999969,16.68499947,16.38500023,16.67000008,16432,4/19/2019 17:54
43,4/30/2015,16.54500008,16.70000076,15.81499958,16.12400055,2479,4/19/2019 17:54
44,5/1/2015,16.09000015,16.22500038,15.90499973,16.11100006,733,4/19/2019 17:54
45,5/3/2015,16.14800072,16.18199921,16.13999939,16.17499924,0,4/19/2019 17:54
46,5/4/2015,16.14999962,16.69499969,16.14999962,16.41799927,71,4/19/2019 17:54
47,5/5/2015,16.38999939,16.56999969,16.35000038,16.55699921,47,4/19/2019 17:54
48,5/6/2015,16.52000046,16.54500008,16.37999916,16.48399925,98,4/19/2019 17:54
49,5/7/2015,16.32999992,16.44499969,16.22999954,16.27199936,101,4/19/2019 17:54
50,5/8/2015,16.37000084,16.45499992,16.31999969,16.44199944,67,4/19/2019 17:54
51,5/10/2015,16.43300056,16.4829998,16.42499924,16.46800041,0,4/19/2019 17:54
52,5/11/2015,16.47500038,16.47500038,16.21500015,16.29800034,242,4/19/2019 17:54
53,5/12/2015,16.46500015,16.54000092,16.30500031,16.51000023,28,4/19/2019 17:54
54,5/13/2015,16.52499962,17.20000076,16.52499962,17.20700073,137,4/19/2019 17:54
55,5/14/2015,17.125,17.40999985,17.125,17.4489994,15,4/19/2019 17:54
56,5/15/2015,17.48500061,17.54500008,17.33499908,17.54500008,44,4/19/2019 17:54
57,5/17/2015,17.5170002,17.7329998,17.50799942,17.55999947,0,4/19/2019 17:54
58,5/18/2015,17.62000084,17.70999908,17.59499931,17.71199989,215,4/19/2019 17:54
59,5/19/2015,17.46500015,17.46500015,16.90500069,17.04999924,24,4/19/2019 17:54
60,5/20/2015,17.10000038,17.10000038,17.10000038,17.09199905,8,4/19/2019 17:54
61,5/21/2015,17.06500053,17.18499947,17.06500053,17.11100006,11,4/19/2019 17:54
62,5/22/2015,17.09000015,17.09000015,17.09000015,17.03000069,15,4/19/2019 17:54
63,5/24/2015,17.04299927,17.09300041,17.02000046,17.02499962,0,4/19/2019 17:54
64,5/25/2015,17.02799988,17.1779995,17.00200081,17.10499954,0,4/19/2019 17:54
65,5/26/2015,16.99500084,17.07999992,16.75,16.73399925,114,4/19/2019 17:54
66,5/27/2015,16.64999962,16.69499969,16.64999962,16.63800049,163,4/19/2019 17:54
67,5/28/2015,16.66500092,16.75,16.55500031,16.65299988,73,4/19/2019 17:54
68,5/29/2015,16.68499947,16.69000053,16.67000008,16.68400002,24,4/19/2019 17:54
69,5/31/2015,16.69300079,16.80500031,16.69300079,16.70299911,0,4/19/2019 17:54
70,6/1/2015,16.63500023,17.10000038,16.61499977,16.66399956,24,4/19/2019 17:54
71,6/2/2015,16.78300095,16.78300095,16.78300095,16.78300095,41683,4/19/2019 17:54
72,6/3/2015,16.375,16.375,16.37000084,16.4640007,2,4/19/2019 17:54
73,6/4/2015,16.11499977,16.13500023,16.11499977,16.0890007,11,4/19/2019 17:54
74,6/5/2015,15.97999954,16.05999947,15.93999958,15.97099972,14,4/19/2019 17:54
75,6/7/2015,16.03199959,16.0529995,15.98799992,15.99300003,0,4/19/2019 17:54
76,6/8/2015,16.03499985,16.05999947,15.89999962,15.95100021,16,4/19/2019 17:54
77,6/9/2015,15.97000027,15.97000027,15.97000027,15.94900036,1,4/19/2019 17:54
78,6/10/2015,15.95199966,15.95199966,15.95199966,15.95199966,45246,4/19/2019 17:54
79,6/11/2015,15.94499969,15.94499969,15.94499969,15.95300007,5,4/19/2019 17:54
80,6/12/2015,15.99499989,15.99499989,15.83500004,15.81799984,5,4/19/2019 17:54
81,6/14/2015,15.9119997,16.05999947,15.89299965,15.9829998,0,4/19/2019 17:54
82,6/15/2015,16.20000076,16.20000076,16.20000076,16.07600021,2,4/19/2019 17:54
83,6/16/2015,15.95800018,15.95800018,15.95800018,15.95800018,8259,4/19/2019 17:54
84,6/17/2015,15.93999958,15.93999958,15.93999958,15.93999958,2,4/19/2019 17:54
85,6/18/2015,16.14800072,16.14800072,16.14800072,16.14800072,46,4/19/2019 17:54
86,6/19/2015,16.10400009,16.10400009,16.10400009,16.10400009,12658,4/19/2019 17:54
87,6/21/2015,16.08699989,16.10199928,16.0529995,16.07799911,0,4/19/2019 17:54
88,6/22/2015,16.10000038,16.10000038,16.10000038,16.13699913,1,4/19/2019 17:54
89,6/23/2015,15.78999996,15.82499981,15.76000023,15.73200035,4,4/19/2019 17:54
90,6/24/2015,15.84000015,15.85499954,15.84000015,15.84799957,21,4/19/2019 17:54
91,6/25/2015,15.80500031,15.80500031,15.80500031,15.80500031,1,4/19/2019 17:54
92,6/26/2015,15.72500038,15.72500038,15.72500038,15.73499966,1,4/19/2019 17:54
93,6/28/2015,15.86999989,16.02000046,15.86999989,15.92800045,0,4/19/2019 17:54
94,6/29/2015,15.93500042,16,15.63000011,15.66399956,19508,4/19/2019 17:54
95,6/30/2015,15.72500038,15.80500031,15.41499996,15.55099964,1989,4/19/2019 17:54
96,7/1/2015,15.63500023,15.64500046,15.48999977,15.55200005,220,4/19/2019 17:54
97,7/2/2015,15.47000027,15.69499969,15.44499969,15.5369997,257,4/19/2019 17:54
98,7/3/2015,15.625,15.68299961,15.56299973,15.65299988,0,4/19/2019 17:54
99,7/5/2015,15.70699978,15.77299976,15.56299973,15.68500042,0,4/19/2019 17:54
100,7/6/2015,15.55000019,15.69499969,15.48499966,15.72599983,87,4/19/2019 17:54
101,7/7/2015,15.59500027,15.59500027,14.80500031,14.94999981,1041,4/19/2019 17:54
102,7/8/2015,15.04500008,15.13000011,14.73999977,15.14700031,109,4/19/2019 17:54
103,7/9/2015,15.14000034,15.43999958,15.14000034,15.34500027,366,4/19/2019 17:54
104,7/10/2015,15.32999992,15.58500004,15.32999992,15.46800041,51,4/19/2019 17:54
105,7/12/2015,15.5369997,15.64500046,15.49300003,15.61499977,0,4/19/2019 17:54
106,7/13/2015,15.49499989,15.49499989,15.30000019,15.43599987,152,4/19/2019 17:54
107,7/14/2015,15.35999966,15.38000011,15.29500008,15.29500008,27,4/19/2019 17:54
108,7/15/2015,15.04500008,15.04500008,14.98999977,15.02799988,86,4/19/2019 17:54
109,7/16/2015,14.98999977,14.98999977,14.97000027,14.96399975,12,4/19/2019 17:54
110,7/17/2015,14.93500042,14.94499969,14.82499981,14.81999969,62,4/19/2019 17:54
111,7/19/2015,14.82499981,14.85200024,14.81700039,14.82299995,0,4/19/2019 17:54
112,7/20/2015,14.71500015,14.90499973,14.48499966,14.74499989,46,4/19/2019 17:54
113,7/21/2015,14.61499977,14.83500004,14.61499977,14.76900005,102,4/19/2019 17:54
114,7/22/2015,14.71399975,14.71399975,14.71399975,14.71399975,10,4/19/2019 17:54
115,7/23/2015,14.63500023,14.63500023,14.63500023,14.68299961,172,4/19/2019 17:54
116,7/24/2015,14.59500027,14.63000011,14.32999992,14.47700024,29,4/19/2019 17:54
117,7/26/2015,14.64000034,14.65999985,14.61999989,14.65499973,0,4/19/2019 17:54
118,7/27/2015,14.60999966,14.64999962,14.56000042,14.59399986,18,4/19/2019 17:54
119,7/28/2015,14.64000034,14.64000034,14.64000034,14.63099957,168,4/19/2019 17:54
120,7/29/2015,14.64000034,14.66499996,14.64000034,14.73400021,14,4/19/2019 17:54
121,7/30/2015,14.75,14.78499985,14.63000011,14.69099998,39,4/19/2019 17:54
