Id,stockdate,sector,subsector,companyname,stockcode,openprice,highprice,lowprice,lastprice,volume,created_at
1,"2019-04-01 16:00:00",main_market,healthcare,ADVENTA,7191,0.355,0.355,0.35,0.35,20000,"2019-05-02 23:13:36"
2,"2019-04-02 16:00:00",main_market,healthcare,ADVENTA,7191,0.35,0.35,0.35,0.35,1000,"2019-05-02 23:13:36"
3,"2019-04-03 16:00:00",main_market,healthcare,ADVENTA,7191,0.355,0.355,0.355,0.355,5000,"2019-05-02 23:13:36"
4,"2019-04-04 16:00:00",main_market,healthcare,ADVENTA,7191,0.355,0.355,0.35,0.35,32000,"2019-05-02 23:13:36"
5,"2019-04-07 16:00:00",main_market,healthcare,ADVENTA,7191,0.355,0.355,0.35,0.35,31600,"2019-05-02 23:13:36"
6,"2019-04-08 16:00:00",main_market,healthcare,ADVENTA,7191,0.37,0.37,0.36,0.36,8000,"2019-05-02 23:13:36"
7,"2019-04-09 16:00:00",main_market,healthcare,ADVENTA,7191,0.36,0.36,0.35,0.35,17800,"2019-05-02 23:13:36"
8,"2019-04-10 16:00:00",main_market,healthcare,ADVENTA,7191,0.36,0.36,0.36,0.36,6000,"2019-05-02 23:13:36"
9,"2019-04-11 16:00:00",main_market,healthcare,ADVENTA,7191,0.36,0.36,0.36,0.36,5000,"2019-05-02 23:13:36"
10,"2019-04-14 16:00:00",main_market,healthcare,ADVENTA,7191,0.36,0.36,0.36,0.36,38000,"2019-05-02 23:13:36"
11,"2019-04-15 16:00:00",main_market,healthcare,ADVENTA,7191,0.36,0.36,0.36,0.36,6000,"2019-05-02 23:13:36"
12,"2019-04-16 16:00:00",main_market,healthcare,ADVENTA,7191,0.36,0.36,0.36,0.36,68000,"2019-05-02 23:13:36"
13,"2019-04-17 16:00:00",main_market,healthcare,ADVENTA,7191,0.35,0.355,0.35,0.35,49700,"2019-05-02 23:13:36"
14,"2019-04-18 16:00:00",main_market,healthcare,ADVENTA,7191,0.36,0.36,0.36,0.36,5000,"2019-05-02 23:13:36"
15,"2019-04-21 16:00:00",main_market,healthcare,ADVENTA,7191,0.36,0.36,0.36,0.36,15000,"2019-05-02 23:13:36"
16,"2019-04-22 16:00:00",main_market,healthcare,ADVENTA,7191,0.36,0.36,0.36,0.36,1000,"2019-05-02 23:13:36"
17,"2019-04-23 16:00:00",main_market,healthcare,ADVENTA,7191,0.36,0.36,0.36,0.36,1000,"2019-05-02 23:13:36"
18,"2019-04-24 16:00:00",main_market,healthcare,ADVENTA,7191,0.355,0.355,0.355,0.355,8400,"2019-05-02 23:13:36"
19,"2019-04-25 16:00:00",main_market,healthcare,ADVENTA,7191,0.36,0.36,0.36,0.36,7000,"2019-05-02 23:13:36"
20,"2019-04-28 16:00:00",main_market,healthcare,ADVENTA,7191,0.36,0.36,0.35,0.35,191500,"2019-05-02 23:13:36"
21,"2019-04-29 16:00:00",main_market,healthcare,ADVENTA,7191,0.35,0.35,0.35,0.35,5000,"2019-05-02 23:13:36"
22,"2019-05-01 16:00:00",main_market,healthcare,ADVENTA,7191,0.35,0.35,0.35,0.35,20000,"2019-05-02 23:13:36"
23,"2019-04-01 16:00:00",main_market,healthcare,AHEALTH,7090,8.9,8.99,8.8,8.8,41700,"2019-05-02 23:13:37"
24,"2019-04-02 16:00:00",main_market,healthcare,AHEALTH,7090,8.94,8.94,8.8,8.8,11400,"2019-05-02 23:13:37"
25,"2019-04-03 16:00:00",main_market,healthcare,AHEALTH,7090,8.9,8.9,8.82,8.88,13800,"2019-05-02 23:13:37"
26,"2019-04-04 16:00:00",main_market,healthcare,AHEALTH,7090,9,9,8.89,8.92,6300,"2019-05-02 23:13:37"
27,"2019-04-07 16:00:00",main_market,healthcare,AHEALTH,7090,8.98,9.12,8.98,9.12,20200,"2019-05-02 23:13:37"
28,"2019-04-08 16:00:00",main_market,healthcare,AHEALTH,7090,9.1,9.1,9,9.09,9200,"2019-05-02 23:13:37"
29,"2019-04-09 16:00:00",main_market,healthcare,AHEALTH,7090,9.13,9.13,9.1,9.1,2700,"2019-05-02 23:13:37"
30,"2019-04-10 16:00:00",main_market,healthcare,AHEALTH,7090,9.12,9.13,9.1,9.1,1100,"2019-05-02 23:13:37"
31,"2019-04-11 16:00:00",main_market,healthcare,AHEALTH,7090,9.1,9.11,8.94,8.94,24700,"2019-05-02 23:13:37"
32,"2019-04-14 16:00:00",main_market,healthcare,AHEALTH,7090,9.01,9.02,8.95,9.02,3600,"2019-05-02 23:13:37"
33,"2019-04-15 16:00:00",main_market,healthcare,AHEALTH,7090,9,9,8.92,8.94,3600,"2019-05-02 23:13:37"
34,"2019-04-16 16:00:00",main_market,healthcare,AHEALTH,7090,8.91,8.95,8.9,8.94,20500,"2019-05-02 23:13:37"
35,"2019-04-18 16:00:00",main_market,healthcare,AHEALTH,7090,8.95,8.95,8.89,8.9,24100,"2019-05-02 23:13:37"
36,"2019-04-21 16:00:00",main_market,healthcare,AHEALTH,7090,8.9,8.9,8.9,8.9,7100,"2019-05-02 23:13:37"
37,"2019-04-22 16:00:00",main_market,healthcare,AHEALTH,7090,8.88,9.03,8.88,9.03,18600,"2019-05-02 23:13:37"
38,"2019-04-23 16:00:00",main_market,healthcare,AHEALTH,7090,9.01,9.03,8.9,8.98,15000,"2019-05-02 23:13:37"
39,"2019-04-24 16:00:00",main_market,healthcare,AHEALTH,7090,8.95,8.95,8.88,8.9,33300,"2019-05-02 23:13:37"
40,"2019-04-25 16:00:00",main_market,healthcare,AHEALTH,7090,8.91,9,8.88,9,10400,"2019-05-02 23:13:37"
41,"2019-04-28 16:00:00",main_market,healthcare,AHEALTH,7090,8.92,9,8.8,8.82,19900,"2019-05-02 23:13:37"
42,"2019-04-29 16:00:00",main_market,healthcare,AHEALTH,7090,8.87,8.87,8.8,8.8,25000,"2019-05-02 23:13:37"
43,"2019-05-01 16:00:00",main_market,healthcare,AHEALTH,7090,8.81,8.81,8.78,8.8,36100,"2019-05-02 23:13:37"
44,"2019-04-01 16:00:00",main_market,healthcare,DPHARMA,7148,1.29,1.33,1.27,1.3,1846900,"2019-05-02 23:13:37"
45,"2019-04-02 16:00:00",main_market,healthcare,DPHARMA,7148,1.3,1.3,1.29,1.29,763700,"2019-05-02 23:13:37"
46,"2019-04-03 16:00:00",main_market,healthcare,DPHARMA,7148,1.28,1.29,1.26,1.28,1242600,"2019-05-02 23:13:37"
47,"2019-04-04 16:00:00",main_market,healthcare,DPHARMA,7148,1.27,1.32,1.27,1.31,2036300,"2019-05-02 23:13:37"
48,"2019-04-07 16:00:00",main_market,healthcare,DPHARMA,7148,1.31,1.32,1.29,1.3,1000700,"2019-05-02 23:13:37"
49,"2019-04-08 16:00:00",main_market,healthcare,DPHARMA,7148,1.31,1.31,1.29,1.3,2376500,"2019-05-02 23:13:37"
50,"2019-04-09 16:00:00",main_market,healthcare,DPHARMA,7148,1.3,1.36,1.3,1.35,2898300,"2019-05-02 23:13:37"
51,"2019-04-10 16:00:00",main_market,healthcare,DPHARMA,7148,1.35,1.38,1.35,1.36,3088600,"2019-05-02 23:13:37"
52,"2019-04-11 16:00:00",main_market,healthcare,DPHARMA,7148,1.37,1.38,1.34,1.35,2991700,"2019-05-02 23:13:37"
53,"2019-04-14 16:00:00",main_market,healthcare,DPHARMA,7148,1.36,1.36,1.34,1.34,1524100,"2019-05-02 23:13:37"
54,"2019-04-15 16:00:00",main_market,healthcare,DPHARMA,7148,1.34,1.35,1.34,1.35,1185300,"2019-05-02 23:13:37"
55,"2019-04-16 16:00:00",main_market,healthcare,DPHARMA,7148,1.34,1.34,1.31,1.32,1177300,"2019-05-02 23:13:37"
56,"2019-04-17 16:00:00",main_market,healthcare,DPHARMA,7148,1.31,1.31,1.3,1.31,902500,"2019-05-02 23:13:37"
57,"2019-04-18 16:00:00",main_market,healthcare,DPHARMA,7148,1.3,1.34,1.3,1.32,531100,"2019-05-02 23:13:37"
58,"2019-04-21 16:00:00",main_market,healthcare,DPHARMA,7148,1.34,1.34,1.32,1.33,946100,"2019-05-02 23:13:37"
59,"2019-04-22 16:00:00",main_market,healthcare,DPHARMA,7148,1.34,1.38,1.34,1.37,2496900,"2019-05-02 23:13:37"
60,"2019-04-23 16:00:00",main_market,healthcare,DPHARMA,7148,1.38,1.43,1.38,1.42,1791800,"2019-05-02 23:13:37"
61,"2019-04-24 16:00:00",main_market,healthcare,DPHARMA,7148,1.42,1.44,1.4,1.42,1874500,"2019-05-02 23:13:37"
62,"2019-04-25 16:00:00",main_market,healthcare,DPHARMA,7148,1.41,1.42,1.4,1.41,1308100,"2019-05-02 23:13:37"
63,"2019-04-28 16:00:00",main_market,healthcare,DPHARMA,7148,1.41,1.41,1.39,1.41,1343700,"2019-05-02 23:13:37"
64,"2019-04-29 16:00:00",main_market,healthcare,DPHARMA,7148,1.4,1.42,1.38,1.41,1054500,"2019-05-02 23:13:37"
65,"2019-05-01 16:00:00",main_market,healthcare,DPHARMA,7148,1.4,1.41,1.38,1.39,693500,"2019-05-02 23:13:37"
66,"2019-04-01 16:00:00",main_market,healthcare,HARTA,5168,4.73,4.79,4.71,4.74,3131800,"2019-05-02 23:13:37"
67,"2019-04-02 16:00:00",main_market,healthcare,HARTA,5168,4.76,4.84,4.74,4.82,5768100,"2019-05-02 23:13:37"
68,"2019-04-03 16:00:00",main_market,healthcare,HARTA,5168,4.84,4.89,4.75,4.79,6639100,"2019-05-02 23:13:37"
