,stockprice,newspolarity
2019-04-01,5.65,0.5577655677655677
2019-04-02,5.75,0.5577655677655677
2019-04-03,5.75,0.0
2019-04-04,5.73,0.0
2019-04-05,5.73,-0.14125267829813284
2019-04-07,5.68,-0.14125267829813284
2019-04-08,5.66,0.840428302634185
2019-04-09,5.69,0.28767676767676764
2019-04-10,5.68,0.0
2019-04-11,5.75,0.2756172839506173
2019-04-12,5.75,0.0
2019-04-14,5.75,0.0
2019-04-15,5.75,0.1396103896103896
2019-04-16,5.79,-0.14196969696969697
2019-04-17,5.82,0.20075757575757575
2019-04-18,5.8,0.067061642061642
2019-04-19,5.8,0.0486870401810979
2019-04-21,5.76,0.0486870401810979
2019-04-22,5.75,0.025921375921375923
2019-04-23,5.79,0.01855769230769231
2019-04-24,5.8,0.3182433407433407
2019-04-25,5.91,0.11059332824038706
2019-04-26,5.91,0.010416666666666668
2019-04-28,5.9,0.010416666666666668
2019-04-29,5.96,-0.02023563557654467
2019-04-30,5.96,0.1971212121212121
